instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
50B_3F,0,0,138108494.4880756,optimal,390060,29970,0.00024362507620714584,57.87523102760315,69.99,138142141.18057013,,"(302271.6999999999,)","(0.0,)","(1552.372316978165,)",232153802.49600017
50B_6F,0,0,138096599.38178033,optimal,780060,59850,0.00035555010516015624,16.08191990852356,40.89,138145699.64221278,,"(302271.69999999984,)","(0.0,)","(2028.1765687898014,)",232153802.49600008
75B_3F,0,0,344736131.9542473,optimal,866335,44845,0.0002641248221809899,7.007705926895142,34.25,344827185.3237991,,"(0.0,)","(0.0,)","(3700.291110109597,)",344828639.23199993
75B_6F,0,0,344782977.5206706,optimal,1732585,89575,0.000127206467314026,439.33661794662476,496.02,344826836.145231,,"(0.0,)","(0.0,)","(1826.4684531773914,)",344828639.2320002
100B_3F,0,0,400316257.02088004,optimal,1530110,59720,0.0019954684282800133,501.64920020103455,551.0,401115075.47309244,,"(0.0,)","(136529.0672947638,)","(2853.319559926616,)",423324473.31539834
100B_6F,0,0,399376305.17158777,optimal,3060110,119300,0.0043537800201929105,227.56072402000427,330.31,401115101.7495823,,"(0.0,)","(138435.0,)","(3974.586096491932,)",422732749.8240001
50B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,73244614.45572023,maxTimeLimit,390571,30471,0.1628507972780689,3600.0859129428864,3613.16,85172558.31615904,,"(302271.7000000004,)","(0.0,)","(3810.460907582972,)",232153802.49600053
50B_3F_robust_gamma_0d1_theta_0d05199999999999999,0.05199999999999999,0.1,119590484.89779386,maxTimeLimit,390571,30471,0.027188218631376514,3600.0722119808197,3614.01,122841937.14742741,,"(302271.6999999999,)","(0.0,)","(5202.409206971939,)",232153802.49600017
50B_3F_robust_gamma_0d15_theta_0d05199999999999999,0.05199999999999999,0.15,113397868.54707366,maxTimeLimit,390571,30471,0.040718736266026186,3600.0556581020355,3613.97,118015286.44957146,,"(302271.69999999984,)","(0.0,)","(5168.417331573873,)",232153802.49599996
50B_3F_robust_gamma_0d2_theta_0d05199999999999999,0.05199999999999999,0.2,105610105.68057588,maxTimeLimit,390571,30471,0.052935187418659914,3600.06374001503,3613.99,111200596.41808164,,"(302271.6999999998,)","(0.0,)","(5575.049965806805,)",232153802.49600002
50B_3F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,98498541.02544609,maxTimeLimit,390571,30471,0.08568663312310962,3600.0417251586914,3613.99,106938549.37345505,,"(302271.69999999984,)","(0.0,)","(6186.385330967514,)",232153802.49600002
50B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,73244614.45572023,maxTimeLimit,390571,30471,0.1628507972780689,3600.0836338996887,3613.97,85172558.31615904,,"(302271.7000000004,)","(0.0,)","(3810.460907582972,)",232153802.49600053
50B_3F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,60454318.1841053,maxTimeLimit,390571,30471,0.11973100175916,3600.0792129039764,3613.97,67692574.26095523,,"(302271.69999999995,)","(0.0,)","(2193.864299479025,)",232153802.4960001
50B_3F_robust_gamma_1_theta_0d05199999999999999,0.05199999999999999,1,55985797.671484426,optimal,390571,30471,0.0006130201233059949,48.896332025527954,62.74,56020118.09207638,,"(302271.6999999999,)","(0.0,)","(1562.9035406241585,)",232153802.4960001
50B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,81569391.79982588,maxTimeLimit,780571,60351,0.04417164884644089,3600.067615032196,3629.09,85172446.33102554,,"(302271.6999999999,)","(0.0,)","(4252.945942088148,)",232153802.49599996
50B_6F_robust_gamma_0d1_theta_0d05199999999999999,0.05199999999999999,0.1,122385739.04719794,optimal,780571,60351,0.0037262575513154475,1034.0592708587646,1062.27,122841779.83149588,,"(302271.69999999984,)","(0.0,)","(5071.544182855429,)",232153802.49600014
50B_6F_robust_gamma_0d15_theta_0d05199999999999999,0.05199999999999999,0.15,117509292.40374947,optimal,780571,60351,0.004304370362593976,1880.03258395195,1908.19,118015095.91930155,,"(302271.69999999984,)","(0.0,)","(5579.711088494103,)",232153802.49599987
50B_6F_robust_gamma_0d2_theta_0d05199999999999999,0.05199999999999999,0.2,109411978.18735602,maxTimeLimit,780571,60351,0.01634479017361577,3600.064018011093,3628.44,111200294.01330858,,"(302271.70000000385,)","(0.0,)","(6061.075274891063,)",232153802.49600026
50B_6F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,106570301.45414133,optimal,780571,60351,0.0034563127200909604,2433.013743162155,2461.26,106938641.74264121,,"(302271.6999999999,)","(0.0,)","(8156.711847872532,)",232153802.49599987
50B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,81569391.79982588,maxTimeLimit,780571,60351,0.04417164884644089,3600.0872609615326,3628.26,85172446.33102554,,"(302271.6999999999,)","(0.0,)","(4252.945942088148,)",232153802.49599996
50B_6F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,64807682.792631224,maxTimeLimit,780571,60351,0.04451274355805319,3600.2519161701202,3628.46,67692450.55737127,,"(302271.6999999956,)","(0.0,)","(3851.6519726539655,)",232153802.4960014
50B_6F_robust_gamma_1_theta_0d05199999999999999,0.05199999999999999,1,55996201.27181925,optimal,780571,60351,0.00048333340082226716,17.7658269405365,45.94,56023266.106213085,,"(302271.69999999984,)","(0.0,)","(1146.7595273033826,)",232153802.4960001
75B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,236053427.74888092,maxTimeLimit,867096,45596,0.11416951045155924,3600.093380212784,3632.16,263003532.03538316,,"(0.0,)","(-5.001335518726385e-09,)","(3831.370779540529,)",344828639.2320016
75B_3F_robust_gamma_0d1_theta_0d05199999999999999,0.05199999999999999,0.1,303397198.97130775,maxTimeLimit,867096,45596,0.0579983353586269,3600.1005868911743,3631.45,320993731.4641137,,"(0.0,)","(0.0,)","(6013.606792484041,)",344828639.2320003
75B_3F_robust_gamma_0d15_theta_0d05199999999999999,0.05199999999999999,0.15,290702459.1881192,maxTimeLimit,867096,45596,0.0715352051371353,3600.0754809379578,3631.63,311497919.240011,,"(0.0,)","(0.0,)","(6374.19925404466,)",344828639.23200023
75B_3F_robust_gamma_0d2_theta_0d05199999999999999,0.05199999999999999,0.2,273308697.6755536,maxTimeLimit,867096,45596,0.10887101668226737,3600.116751909256,3631.53,303064093.4595976,,"(0.0,)","(0.0,)","(6492.6736370520775,)",344828639.23199993
75B_3F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,259944824.40449068,maxTimeLimit,867096,45596,0.13229733677258837,3600.1275022029877,3631.41,294334832.38102293,,"(0.0,)","(0.0,)","(4766.398882315301,)",344828639.23199975
75B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,236053427.74888092,maxTimeLimit,867096,45596,0.11416951045155924,3600.1359090805054,3631.49,263003532.03538316,,"(0.0,)","(-5.001335518726385e-09,)","(3831.370779540529,)",344828639.2320016
75B_3F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,227840032.01397383,maxTimeLimit,867096,45596,0.048290831420627615,3600.088371038437,3631.52,238842616.59083104,,"(0.0,)","(0.0,)","(3638.3149329759976,)",344828639.232
75B_3F_robust_gamma_1_theta_0d05199999999999999,0.05199999999999999,1,222769414.16891566,optimal,867096,45596,0.0003461863596058575,443.6415009498596,475.17,222846533.90143833,,"(0.0,)","(0.0,)","(3161.0460433746844,)",344828639.23199993
